Fase,Grupo,Partido_ID,Local,Visitante,Fecha,Dia,Hora_CDMX,Sede,Pred_Camilo_Local,Pred_Camilo_Visitante,Pred_Sofia_Local,Pred_Sofia_Visitante,Real_Local,Real_Visitante,Puntos_Camilo,Puntos_Sofia
Grupos,A,1,México,Sudáfrica,2026-06-11,Jueves,13:00,Ciudad de México,,,,,,,,
Grupos,A,2,Corea del Sur,Chequia,2026-06-11,Jueves,20:00,Guadalajara,,,,,,,,
Grupos,B,3,Canadá,Bosnia y Herzegovina,2026-06-12,Viernes,13:00,Toronto,,,,,,,,
Grupos,D,4,Estados Unidos,Paraguay,2026-06-12,Viernes,19:00,Los Ángeles,,,,,,,,
Grupos,B,5,Catar,Suiza,2026-06-13,Sábado,13:00,San Francisco Bay Area,,,,,,,,
Grupos,C,6,Brasil,Marruecos,2026-06-13,Sábado,16:00,Nueva York/Nueva Jersey,,,,,,,,
Grupos,C,7,Haití,Escocia,2026-06-13,Sábado,19:00,Boston,,,,,,,,
Grupos,D,8,Australia,Turquía,2026-06-13,Sábado,22:00,Vancouver,,,,,,,,
Grupos,E,9,Alemania,Curazao,2026-06-14,Domingo,11:00,Houston,,,,,,,,
Grupos,F,10,Países Bajos,Japón,2026-06-14,Domingo,14:00,Dallas,,,,,,,,
Grupos,E,11,Costa de Marfil,Ecuador,2026-06-14,Domingo,17:00,Filadelfia,,,,,,,,
Grupos,F,12,Suecia,Túnez,2026-06-14,Domingo,20:00,Monterrey,,,,,,,,
Grupos,H,13,España,Cabo Verde,2026-06-15,Lunes,10:00,Atlanta,,,,,,,,
Grupos,G,14,Bélgica,Egipto,2026-06-15,Lunes,13:00,Seattle,,,,,,,,
Grupos,H,15,Arabia Saudita,Uruguay,2026-06-15,Lunes,16:00,Miami,,,,,,,,
Grupos,G,16,Irán,Nueva Zelanda,2026-06-15,Lunes,19:00,Los Ángeles,,,,,,,,
Grupos,I,17,Francia,Senegal,2026-06-16,Martes,13:00,Nueva York/Nueva Jersey,,,,,,,,
Grupos,I,18,Irak,Noruega,2026-06-16,Martes,16:00,Boston,,,,,,,,
Grupos,J,19,Argentina,Argelia,2026-06-16,Martes,19:00,Kansas City,,,,,,,,
Grupos,J,20,Austria,Jordania,2026-06-16,Martes,22:00,San Francisco Bay Area,,,,,,,,
Grupos,K,21,Portugal,RD Congo,2026-06-17,Miércoles,11:00,Houston,,,,,,,,
Grupos,L,23,Inglaterra,Croacia,2026-06-17,Miércoles,14:00,Dallas,,,,,,,,
Grupos,L,24,Ghana,Panamá,2026-06-17,Miércoles,17:00,Toronto,,,,,,,,
Grupos,K,22,Uzbekistán,Colombia,2026-06-17,Miércoles,20:00,Ciudad de México,,,,,,,,
Grupos,A,25,Chequia,Sudáfrica,2026-06-18,Jueves,10:00,Atlanta,,,,,,,,
Grupos,B,26,Suiza,Bosnia y Herzegovina,2026-06-18,Jueves,13:00,Los Ángeles,,,,,,,,
Grupos,B,27,Canadá,Catar,2026-06-18,Jueves,16:00,Vancouver,,,,,,,,
Grupos,A,28,México,Corea del Sur,2026-06-18,Jueves,19:00,Guadalajara,,,,,,,,
Grupos,D,29,Turquía,Paraguay,2026-06-18,Jueves,22:00,San Francisco Bay Area,,,,,,,,
Grupos,D,30,Estados Unidos,Australia,2026-06-19,Viernes,13:00,Seattle,,,,,,,,
Grupos,C,31,Escocia,Marruecos,2026-06-19,Viernes,16:00,Boston,,,,,,,,
Grupos,C,32,Brasil,Haití,2026-06-19,Viernes,18:30,Filadelfia,,,,,,,,
Grupos,F,33,Países Bajos,Suecia,2026-06-20,Sábado,11:00,Houston,,,,,,,,
Grupos,E,34,Alemania,Costa de Marfil,2026-06-20,Sábado,14:00,Toronto,,,,,,,,
Grupos,E,35,Ecuador,Curazao,2026-06-20,Sábado,18:00,Kansas City,,,,,,,,
Grupos,F,36,Túnez,Japón,2026-06-20,Sábado,22:00,Monterrey,,,,,,,,
Grupos,H,37,España,Arabia Saudita,2026-06-21,Domingo,10:00,Atlanta,,,,,,,,
Grupos,G,38,Bélgica,Irán,2026-06-21,Domingo,13:00,Los Ángeles,,,,,,,,
Grupos,H,39,Uruguay,Cabo Verde,2026-06-21,Domingo,16:00,Miami,,,,,,,,
Grupos,G,40,Nueva Zelanda,Egipto,2026-06-21,Domingo,19:00,Vancouver,,,,,,,,
Grupos,J,41,Argentina,Austria,2026-06-22,Lunes,11:00,Dallas,,,,,,,,
Grupos,I,42,Francia,Irak,2026-06-22,Lunes,15:00,Filadelfia,,,,,,,,
Grupos,I,43,Noruega,Senegal,2026-06-22,Lunes,18:00,Nueva York/Nueva Jersey,,,,,,,,
Grupos,J,44,Jordania,Argelia,2026-06-22,Lunes,21:00,San Francisco Bay Area,,,,,,,,
Grupos,K,45,Portugal,Uzbekistán,2026-06-23,Martes,11:00,Houston,,,,,,,,
Grupos,L,46,Inglaterra,Ghana,2026-06-23,Martes,14:00,Boston,,,,,,,,
Grupos,L,47,Panamá,Croacia,2026-06-23,Martes,17:00,Toronto,,,,,,,,
Grupos,K,48,Colombia,RD Congo,2026-06-23,Martes,20:00,Guadalajara,,,,,,,,
Grupos,B,51,Suiza,Canadá,2026-06-24,Miércoles,13:00,Vancouver,,,,,,,,
Grupos,B,52,Bosnia y Herzegovina,Catar,2026-06-24,Miércoles,13:00,Seattle,,,,,,,,
Grupos,C,53,Escocia,Brasil,2026-06-24,Miércoles,16:00,Miami,,,,,,,,
Grupos,C,54,Marruecos,Haití,2026-06-24,Miércoles,16:00,Atlanta,,,,,,,,
Grupos,A,49,Chequia,México,2026-06-24,Miércoles,19:00,Ciudad de México,,,,,,,,
Grupos,A,50,Sudáfrica,Corea del Sur,2026-06-24,Miércoles,19:00,Monterrey,,,,,,,,
Grupos,E,57,Ecuador,Alemania,2026-06-25,Jueves,14:00,Nueva York/Nueva Jersey,,,,,,,,
Grupos,E,58,Curazao,Costa de Marfil,2026-06-25,Jueves,14:00,Filadelfia,,,,,,,,
Grupos,F,59,Japón,Suecia,2026-06-25,Jueves,17:00,Dallas,,,,,,,,
Grupos,F,60,Túnez,Países Bajos,2026-06-25,Jueves,17:00,Kansas City,,,,,,,,
Grupos,D,55,Turquía,Estados Unidos,2026-06-25,Jueves,20:00,Los Ángeles,,,,,,,,
Grupos,D,56,Paraguay,Australia,2026-06-25,Jueves,20:00,San Francisco Bay Area,,,,,,,,
Grupos,I,61,Noruega,Francia,2026-06-26,Viernes,13:00,Boston,,,,,,,,
